history_id,employee_id,department_id,job_title,start_date,end_date,change_type
1,1001,1,Engineer,01-01-2015,03-06-2017,Transfer
2,1001,9,Analyst,04-06-2017,07-10-2019,Transfer
3,1001,10,Analyst,08-10-2019,13-03-2022,Restructure
4,1002,2,Manager,01-01-2015,22-08-2015,Restructure
5,1002,7,Engineer,23-08-2015,28-06-2017,Restructure
6,1003,8,Manager,01-01-2015,05-11-2015,Restructure
7,1003,7,Analyst,06-11-2015,22-10-2016,Restructure
8,1003,7,Manager,23-10-2016,09-07-2017,Promotion
9,1004,6,Manager,01-01-2015,25-11-2016,Transfer
10,1005,6,Engineer,01-01-2015,22-12-2016,Promotion
11,1005,2,Manager,23-12-2016,22-05-2019,Transfer
12,1005,7,Engineer,23-05-2019,20-07-2020,Promotion
13,1006,1,Analyst,01-01-2015,06-05-2017,Transfer
14,1006,10,Analyst,07-05-2017,30-07-2018,Promotion
15,1006,7,Analyst,31-07-2018,09-09-2019,Transfer
16,1007,7,Analyst,01-01-2015,25-12-2015,Transfer
17,1007,9,Analyst,26-12-2015,18-09-2017,Promotion
18,1008,6,Manager,01-01-2015,21-11-2015,Restructure
19,1008,6,Engineer,22-11-2015,08-09-2016,Restructure
20,1008,9,Analyst,09-09-2016,23-06-2017,Promotion
21,1009,5,Engineer,01-01-2015,17-06-2016,Transfer
22,1009,7,Analyst,18-06-2016,20-09-2017,Restructure
23,1009,10,Engineer,21-09-2017,30-04-2018,Promotion
24,1009,8,Analyst,01-05-2018,19-06-2019,Promotion
25,1010,3,Manager,01-01-2015,18-04-2017,Promotion
26,1011,2,Engineer,01-01-2015,07-06-2017,Restructure
27,1011,5,Manager,08-06-2017,07-05-2018,Transfer
28,1012,7,Engineer,01-01-2015,31-12-2016,Transfer
29,1012,10,Analyst,01-01-2017,29-05-2018,Promotion
30,1012,10,Analyst,30-05-2018,01-01-2019,Transfer
31,1013,4,Manager,01-01-2015,27-05-2016,Restructure
32,1013,2,Engineer,28-05-2016,03-10-2018,Transfer
33,1013,5,Engineer,04-10-2018,21-03-2020,Transfer
34,1013,2,Engineer,22-03-2020,29-01-2022,Restructure
35,1014,8,Engineer,01-01-2015,18-02-2017,Restructure
36,1015,5,Manager,01-01-2015,26-01-2017,Restructure
37,1015,8,Engineer,27-01-2017,04-06-2018,Promotion
38,1016,8,Analyst,01-01-2015,15-02-2017,Promotion
39,1016,3,Analyst,16-02-2017,21-12-2017,Transfer
40,1016,7,Engineer,22-12-2017,16-07-2019,Restructure
41,1016,2,Analyst,17-07-2019,03-04-2020,Restructure
42,1017,6,Manager,01-01-2015,20-09-2016,Transfer
43,1017,5,Analyst,21-09-2016,14-02-2019,Transfer
44,1017,10,Manager,15-02-2019,27-06-2021,Restructure
45,1017,9,Manager,28-06-2021,09-07-2022,Transfer
46,1018,3,Analyst,01-01-2015,23-01-2017,Promotion
47,1019,6,Analyst,01-01-2015,16-07-2016,Restructure
48,1019,4,Analyst,17-07-2016,11-09-2017,Restructure
49,1019,2,Engineer,12-09-2017,20-08-2018,Transfer
50,1019,9,Analyst,21-08-2018,19-07-2020,Transfer
51,1020,5,Engineer,01-01-2015,13-01-2016,Promotion
52,1021,3,Analyst,01-01-2015,21-10-2015,Transfer
53,1021,4,Manager,22-10-2015,09-05-2016,Promotion
54,1021,5,Manager,10-05-2016,07-04-2018,Promotion
55,1022,8,Manager,01-01-2015,27-04-2016,Promotion
56,1022,4,Engineer,28-04-2016,16-05-2018,Promotion
57,1022,2,Analyst,17-05-2018,18-05-2020,Transfer
58,1022,9,Analyst,19-05-2020,17-06-2022,Restructure
59,1023,4,Analyst,01-01-2015,08-10-2016,Restructure
60,1023,6,Engineer,09-10-2016,15-02-2018,Restructure
61,1024,2,Engineer,01-01-2015,25-08-2016,Promotion
62,1024,6,Manager,26-08-2016,15-07-2018,Restructure
63,1024,2,Manager,16-07-2018,30-03-2020,Transfer
64,1025,7,Analyst,01-01-2015,03-12-2015,Promotion
65,1026,3,Analyst,01-01-2015,02-04-2016,Transfer
66,1026,7,Manager,03-04-2016,04-07-2018,Restructure
67,1026,2,Manager,05-07-2018,02-11-2020,Transfer
68,1027,8,Engineer,01-01-2015,14-02-2017,Promotion
69,1027,2,Analyst,15-02-2017,25-01-2018,Promotion
70,1027,4,Engineer,26-01-2018,18-12-2019,Restructure
71,1028,7,Analyst,01-01-2015,18-02-2016,Promotion
72,1028,1,Analyst,19-02-2016,18-10-2017,Promotion
73,1029,2,Engineer,01-01-2015,11-10-2015,Promotion
74,1030,5,Engineer,01-01-2015,09-07-2016,Restructure
75,1030,8,Engineer,10-07-2016,01-01-2018,Promotion
76,1031,4,Manager,01-01-2015,01-09-2015,Promotion
77,1031,2,Engineer,02-09-2015,05-10-2016,Restructure
78,1031,9,Analyst,06-10-2016,25-07-2017,Promotion
79,1032,9,Manager,01-01-2015,17-09-2015,Restructure
80,1032,9,Manager,18-09-2015,25-06-2017,Transfer
81,1032,7,Engineer,26-06-2017,16-06-2018,Transfer
82,1032,4,Engineer,17-06-2018,24-01-2019,Promotion
83,1033,9,Manager,01-01-2015,02-03-2016,Restructure
84,1033,3,Analyst,03-03-2016,20-02-2017,Transfer
85,1033,7,Engineer,21-02-2017,11-07-2019,Promotion
86,1033,1,Engineer,12-07-2019,29-04-2021,Promotion
87,1034,9,Engineer,01-01-2015,29-08-2015,Restructure
88,1034,4,Manager,30-08-2015,31-08-2016,Promotion
89,1034,10,Analyst,01-09-2016,19-11-2017,Promotion
90,1034,6,Manager,20-11-2017,20-09-2018,Promotion
91,1035,5,Engineer,01-01-2015,09-12-2015,Promotion
92,1035,4,Analyst,10-12-2015,12-02-2018,Restructure
93,1035,9,Analyst,13-02-2018,05-05-2020,Promotion
94,1035,1,Analyst,06-05-2020,26-06-2022,Transfer
95,1036,1,Manager,01-01-2015,19-08-2015,Transfer
96,1037,7,Manager,01-01-2015,04-06-2016,Transfer
97,1037,1,Manager,05-06-2016,15-04-2018,Promotion
98,1038,1,Engineer,01-01-2015,08-12-2016,Restructure
99,1038,6,Engineer,09-12-2016,15-04-2019,Transfer
100,1038,2,Analyst,16-04-2019,03-08-2021,Restructure
101,1038,8,Engineer,04-08-2021,05-10-2022,Promotion
102,1039,8,Analyst,01-01-2015,14-04-2017,Transfer
103,1039,3,Engineer,15-04-2017,17-11-2017,Promotion
104,1039,7,Engineer,18-11-2017,14-06-2019,Promotion
105,1039,9,Engineer,15-06-2019,17-01-2021,Restructure
106,1040,4,Analyst,01-01-2015,14-10-2016,Restructure
107,1040,6,Analyst,15-10-2016,25-04-2018,Transfer
108,1041,1,Analyst,01-01-2015,25-11-2015,Promotion
109,1041,9,Manager,26-11-2015,22-06-2016,Transfer
110,1042,9,Engineer,01-01-2015,12-11-2016,Transfer
111,1042,5,Engineer,13-11-2016,21-01-2019,Promotion
112,1043,2,Analyst,01-01-2015,12-08-2016,Promotion
113,1044,9,Manager,01-01-2015,03-03-2016,Promotion
114,1044,10,Engineer,04-03-2016,07-02-2017,Restructure
115,1044,10,Analyst,08-02-2017,28-10-2017,Restructure
116,1044,10,Analyst,29-10-2017,02-06-2019,Transfer
117,1045,7,Analyst,01-01-2015,04-01-2016,Transfer
118,1045,4,Engineer,05-01-2016,21-04-2018,Promotion
119,1045,7,Engineer,22-04-2018,11-10-2019,Restructure
120,1045,10,Engineer,12-10-2019,24-07-2020,Transfer
121,1046,4,Manager,01-01-2015,18-03-2016,Transfer
122,1046,8,Manager,19-03-2016,16-11-2017,Transfer
123,1047,7,Manager,01-01-2015,20-01-2016,Transfer
124,1047,3,Manager,21-01-2016,24-06-2017,Transfer
125,1047,7,Analyst,25-06-2017,04-04-2018,Restructure
126,1048,9,Engineer,01-01-2015,28-01-2016,Restructure
127,1048,6,Manager,29-01-2016,08-05-2018,Promotion
128,1048,5,Manager,09-05-2018,24-04-2020,Promotion
129,1048,3,Engineer,25-04-2020,15-03-2021,Transfer
130,1049,5,Manager,01-01-2015,25-08-2015,Restructure
131,1049,3,Engineer,26-08-2015,17-06-2017,Transfer
132,1049,6,Analyst,18-06-2017,30-10-2019,Promotion
133,1050,7,Manager,01-01-2015,09-08-2015,Promotion
134,1051,10,Analyst,01-01-2015,16-03-2016,Promotion
135,1051,10,Analyst,17-03-2016,18-02-2017,Transfer
136,1051,3,Manager,19-02-2017,06-12-2018,Restructure
137,1051,9,Manager,07-12-2018,12-08-2020,Restructure
138,1052,10,Engineer,01-01-2015,10-06-2016,Transfer
139,1052,9,Manager,11-06-2016,09-02-2018,Promotion
140,1052,5,Manager,10-02-2018,19-05-2020,Promotion
141,1053,8,Manager,01-01-2015,21-10-2015,Promotion
142,1054,7,Engineer,01-01-2015,23-12-2016,Transfer
143,1054,2,Engineer,24-12-2016,15-03-2019,Restructure
144,1054,2,Analyst,16-03-2019,27-04-2020,Transfer
145,1054,8,Engineer,28-04-2020,03-08-2021,Promotion
146,1055,9,Manager,01-01-2015,05-10-2016,Promotion
147,1055,7,Engineer,06-10-2016,12-06-2018,Transfer
148,1055,7,Engineer,13-06-2018,05-05-2019,Transfer
149,1056,2,Analyst,01-01-2015,28-05-2016,Transfer
150,1056,5,Manager,29-05-2016,08-04-2017,Restructure
151,1056,8,Engineer,09-04-2017,19-01-2018,Promotion
152,1057,4,Analyst,01-01-2015,12-04-2017,Restructure
153,1058,9,Analyst,01-01-2015,15-05-2017,Restructure
154,1058,4,Manager,16-05-2017,07-06-2018,Transfer
155,1058,9,Manager,08-06-2018,14-11-2019,Transfer
156,1058,5,Engineer,15-11-2019,12-12-2020,Transfer
157,1059,1,Analyst,01-01-2015,20-06-2016,Restructure
158,1059,4,Analyst,21-06-2016,10-06-2017,Restructure
159,1059,1,Engineer,11-06-2017,10-12-2018,Promotion
160,1060,5,Analyst,01-01-2015,20-03-2016,Restructure
161,1060,6,Manager,21-03-2016,21-04-2017,Promotion
162,1060,3,Manager,22-04-2017,28-08-2019,Promotion
163,1060,9,Manager,29-08-2019,15-06-2021,Promotion
164,1061,6,Engineer,01-01-2015,02-06-2017,Restructure
165,1061,6,Engineer,03-06-2017,01-07-2018,Promotion
166,1061,10,Analyst,02-07-2018,18-08-2019,Promotion
167,1062,9,Engineer,01-01-2015,16-01-2017,Promotion
168,1062,8,Manager,17-01-2017,30-01-2018,Promotion
169,1062,3,Engineer,31-01-2018,09-01-2019,Transfer
170,1063,1,Manager,01-01-2015,23-04-2016,Transfer
171,1063,4,Engineer,24-04-2016,05-07-2018,Transfer
172,1064,1,Manager,01-01-2015,08-11-2015,Transfer
173,1064,10,Analyst,09-11-2015,25-06-2017,Transfer
174,1065,5,Engineer,01-01-2015,14-02-2016,Promotion
175,1065,9,Engineer,15-02-2016,06-05-2018,Transfer
176,1066,3,Manager,01-01-2015,27-04-2016,Transfer
177,1067,6,Analyst,01-01-2015,29-02-2016,Transfer
